Word,Count
/,938
the,434
</summary>,294
<summary>,292
to,259
=,239
code,238
------------------------------------------------------------------------------,238
if,229
and,176
a,170
is,168
{,166
},153
this,145
was,136
file,135
be,134
by,130
will,129
This,122
tool,121
generated,120
behavior,119
lost,119
incorrect,119
</auto-generated>,119
cause,119
Changes,119
Runtime,119
regenerated,119
may,119
<auto-generated>,119
InitializeComponent,111
for,80
Version:4.0.30319.18063,77
public,67
string,66
1,61
new,56
2,55
in,50
of,45
on,45
3,42
return,36
from,32
characters,32
4,30
data,27
resource,27
are,26
set,26
Version:4.0.30319.269,26
server,26
+,26
not,25
name,25
with,24
bool,23
==,23
-,23
var,23
<param,23
assembly,22
private,21
or,21
//,21
value,20
void,20
get;,20
set;,20
it,19
all,19
{0},19
int,18
true;,18
false;,18
else,17
script,17
using,17
>,17
i,17
ActionStatus,16
class,16
an,15
\"\\,15
found,15
as,14
try,14
replaced,14
\<,\,14
\&,\,14
\&amp;,\,14
\&gt;,\,14
-The,14
respectively,14
\&lt;,\,14
res,14
then,14
special,14
we,13
encode,13
that,13
you,13
Enums.Status.Pass;,13
when,13
type,12
Version,12
test,12
5,12
attribute,12
break;,12
Gets,12
variable,12
command,12
can,12
action,12
true,12
get,11
no,11
which,11
current,11
start,11
information,11
case,11
status,10
following,10
:,10
Get,10
target,10
\{0}"\,\,10
index,10
Status,10
logic,10
entity,10
step,10
holds,10
message,10
speed,9
If,9
suite,9
time,9
!=,9
Revision,8
wait,8
\"\option\,8
\{1}"\,\,8
property,8
your,8
ComVisible,8
6,8
need,8
Build,8
copy,8
[assembly:,8
retVal,8
Interaction,8
only,8
row,8
list,8
Port,8
values,8
specific,7
messages,7
here,7
element,7
display,7
send,7
<,7
log,7
});,7
0;,7
Info,7
(int,7
Host,7
The,7
Sleep,7
i++),7
execute,7
before,7
Version:4.0.30319.239,7
up,7
\message,\,6
close,6
message));,6
add,6
Returns,6
\DateTime.Now,\,6
timer,6
Start,6
ClientMessage,6
+=,6
null),6
catch,6
message),6
save,6
result,6
move,6
connection,6
_loggerQueue.Enqueue(new,6
message);,6
has,6
COM,6
Time,6
next,6
end,6
static,6
label,6
ex),6
-1),6
ActionData,6
lable,6
create,6
update,6
root:ortech@192.168.1.3,6
project,6
response,6
retrieving,6
