Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Total,237,33379,23972,13188,1531,6095,358,3312,12258,0,8
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch,237,33379,23972,13188,1531,6095,358,3312,12258,0,8
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient,168,22583,16021,8386,566,4511,44,2051,6529,0,7
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\General,5,667,510,311,76,124,8,33,114,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Models,8,1310,1060,660,136,220,23,30,312,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Models\Memento,1,35,29,15,4,6,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Properties,3,151,69,30,5,21,4,61,369,0,2
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views,29,1560,1377,900,70,161,1,22,115,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\Views\Simulators,1,39,36,25,1,3,0,0,0,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj,117,18013,12361,6116,234,3881,5,1771,4952,0,5
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86,117,18013,12361,6116,234,3881,5,1771,4952,0,5
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug,95,15245,10500,5161,197,3299,3,1446,4042,0,3
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views,79,12285,8475,4228,156,2625,0,1185,3318,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Debug\Views\Simulators,3,451,311,157,6,95,0,45,126,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release,22,2768,1861,955,37,582,2,325,910,0,2
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationClient\obj\x86\Release\Views,10,1310,893,472,20,267,0,150,420,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer,58,9606,7086,4299,902,1419,306,1101,5092,0,1
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions,36,6816,5059,3012,611,989,258,768,3247,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\GuiAutomation,1,156,131,78,20,25,12,0,12,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\Lable,2,230,150,82,12,37,3,43,144,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\RS232,5,965,768,457,110,129,61,68,464,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\SSH,2,574,346,211,33,92,13,136,342,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Actions\Telent,4,1160,779,468,111,157,32,224,999,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Modules,17,2350,1804,1145,276,373,44,173,1148,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Modules\Entities,6,703,569,372,68,94,5,40,273,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Modules\Reports,3,297,245,164,34,42,9,10,86,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\AutomationServer\Properties,2,132,51,22,4,14,1,67,318,0,1
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\Common,11,1190,865,503,63,165,8,160,637,0,0
D:\Automation\Tools\AutoLaunch_9_11_2014\AutoLaunch\Common\Properties,1,34,13,2,0,4,0,17,120,0,0
